Kendujhar,Balarampur,7.74,835.0,439,235,157,46,29,57,34.4,191,148,31,0.36,0,53.017642741517996,2
Boudh,Baghiapada,7.6,670.0,316,290,295,42,45,20,0.6,360,19,12,0.68,0,43.234648300852236,1
Kalahandi,Chiliguda1,7.64,1090.0,571,380,140,88,39,72,2.8,171,250,36,0.11,0,19.030790152327626,0
Mayurbhanj,Satkosia,8.46,330.0,152,152,98,31,18,1,4.8,120,19,1,0.48,1,40.85902871714139,1
Koraput,Gumur,7.03,200.0,93,62,54,19,4,10,2.5,66,24,0,0.06,1,5.96377477124816,0
Nabarangpur,Jharigan,7.62,900.0,458,297,331,77,25,34,48.4,404,64,11,0.39,0,64.52824391440986,2
Boudh,Gaundhisar,8.03,760.0,354,340,342,46,55,16,1.1,417,14,16,1.3,0,77.45082546532288,3
Kendujhar,Rajpat,7.68,250.0,151,65,69,20,4,28,7.2,84,48,3,0.11,1,17.397734743249107,0
Cuttack,Khuntuni,8.21,655.0,297,225,125,40,30,36,0.1,153,95,21,0.27,1,26.988685618389262,1
Sundargarh,Garjanbahal,8.03,260.0,132,72,70,17,7,17,5.2,85,31,12,0.19,1,22.735350711312297,0
Boudh,Singarichhak,8.3,430.0,216,205,199,46,22,4,1.0,243,12,11,1.14,1,68.91362287385397,2
Ganjam,Bananai,8.23,1380.0,691,320,414,43,52,135,16.0,505,163,35,0.35,0,46.09829534695528,1
Bargarh,Dumal Pali,7.55,540.0,269,167,144,44,13,38,1.0,175,72,15,0.48,1,30.862573135913426,1
Bhadrak,Agarpada,8.29,1400.0,726,292,257,48,43,100,154.0,314,219,120,0.08,0,134.63252238834278,3
Gajapati,Chandiput,8.04,350.0,169,131,82,36,10,13,6.1,101,50,4,0.23,1,26.079424618388394,1
Kendrapara,Hatia,7.89,730.0,374,104,254,12,18,114,6.4,310,67,4,0.1,0,20.064665096885715,0
Kandhamal,Tellapalli,8.3,430.0,221,158,170,45,11,19,10.8,203,35,1,0.17,1,29.483833718702396,1
Mayurbhanj,Bangriposi,7.95,480.0,273,218,162,48,24,20,2.1,197,65,20,0.26,1,25.556852818458772,1
Mayurbhanj,Belam,8.07,325.0,210,124,147,30,12,20,4.1,180,22,1,0.35,1,30.752843833967788,1
Sambalpur,Bausenmura,8.38,1680.0,874,599,336,170,43,81,53.3,369,251,76,0.3,0,74.45921242906479,2
Kalahandi,M-rampur,8.15,370.0,187,130,130,40,7,20,5.2,159,37,0,0.23,1,26.366948044099928,1
Boudh,Palasaguda 1,7.6,1560.0,831,710,158,178,64,25,11.3,193,382,76,0.27,0,36.79321061246648,1
Puri,Ramchandisahi,7.99,950.0,395,233,226,65,17,49,23.6,275,67,38,0.04,0,31.667063201939893,1
Angul,Kuio,7.64,1510.0,733,545,330,70,90,92,5.0,403,233,46,1.33,0,82.51307594133786,3
Kendujhar,Kuntapada,7.55,80.0,53,30,25,10,1,8,0.7,30,17,1,0.18,1,14.051400674275548,0
Puri,Algum,7.88,1200.0,647,153,333,32,19,112,106.0,407,141,37,0.1,0,94.54039211124218,3
Angul,Kukurang,8.28,1730.0,906,235,390,24,43,288,1.9,476,174,142,3.94,0,205.06708274636375,3
Bargarh,Satlama,7.74,260.0,141,88,84,23,7,25,1.0,103,26,8,0.66,1,39.581377192662174,1
Ganjam,Poirasi,8.05,650.0,346,259,181,39,39,29,6.9,221,90,34,0.43,1,39.10538659040238,1
Deogarh,kalkat,8.3,430.0,197,174,180,30,24,16,3.1,208,13,3,0.29,1,30.10523203236252,1
Mayurbhanj,Hatjori,7.82,280.0,150,89,57,28,5,20,4.1,70,50,13,0.14,1,17.910752886305236,0
Puri,GobardhanMatha,7.86,400.0,200,144,134,38,12,18,7.0,164,24,21,0.04,1,16.704774373000454,0
Kalahandi,Ampani,7.73,730.0,360,280,285,62,30,36,5.0,348,55,1,0.54,0,40.323562819684376,1
Sundargarh,R-21 Sector-1,8.58,650.0,323,250,219,49,31,33,0.5,194,58,20,0.37,0,35.56986416837699,1
Kendujhar,Turmunga,7.84,245.0,137,70,59,24,2,24,2.5,72,48,1,0.28,1,23.163232692995173,0
Boudh,Banigochha,7.89,580.0,268,275,188,56,33,5,1.0,230,48,12,0.23,1,23.703263069643537,0
Sundargarh,Deokaranpur,7.76,690.0,337,264,153,83,14,35,0.6,187,108,5,0.07,0,14.007934767194918,0
Dhenkanal,Samole,8.01,440.0,216,175,125,28,26,18,1.9,153,45,23,0.38,1,31.085013120662836,1
Boudh,Gudveli Padar,8.05,490.0,240,195,209,50,17,22,1.4,255,10,14,1.1,0,65.05748968929038,2
Kendujhar,Pitanali,7.29,115.0,75,35,44,12,1,13,3.3,54,19,0,0.17,1,13.473788790586525,0
Dhenkanal,Bhagabanpur,7.74,1350.0,735,450,195,28,92,100,2.8,238,290,105,0.43,0,38.27874070507678,1
Koraput,Bheja 1,7.44,100.0,46,46,44,10,5,1,0.2,54,3,0,0.09,1,8.85075432135562,0
Sonepur,Sindor,7.21,430.0,215,150,119,46,8,27,4.8,145,46,11,0.19,1,16.611153242718537,0
Malkangiri,Maithili1,7.78,270.0,134,124,132,34,10,3,4.3,161,2,2,0.07,1,15.046603204606205,0
Bargarh,Rengalpali,7.48,310.0,149,108,114,33,6,20,1.0,139,16,5,0.36,1,23.493780018947202,0
Ganjam,Badakhandi,8.05,440.0,241,127,138,28,14,43,4.8,168,56,13,0.35,1,31.35110488972898,1
Gajapati,Lavanyagada,8.08,700.0,342,177,204,22,29,76,0.5,249,71,21,0.75,0,48.75142214342183,1
Jagatsinghpur,Kanakpur,8.15,690.0,336,158,180,31,20,69,2.6,220,86,19,0.27,1,27.66646046662631,1
Balangir,Bongamunda,8.21,270.0,132,85,98,24,6,14,3.5,119,13,14,0.41,1,33.50311623879806,1
Cuttack,Shankarpur,8.2,426.0,233,230,180,50,26,3,0.8,220,25,21,0.17,1,22.56334284089593,0
Bargarh,kuruan,7.56,490.0,279,157,188,38,15,45,17.0,229,36,16,0.46,0,41.93063072587227,1
Sambalpur,Hotapala,8.48,930.0,442,198,432,16,39,105,0.7,468,22,0,1.4,0,84.29687802949185,3
Boudh,Adenegarh,7.83,340.0,167,130,138,30,13,17,0.8,168,19,5,0.19,1,18.803726489020455,0
Cuttack,Pariamarpada,7.51,480.0,236,139,154,36,12,45,1.3,187,45,5,0.21,1,17.72682666770828,0
Sundargarh,R-25 Ambagaon,7.93,650.0,362,162,148,33,19,64,16.6,180,99,42,0.15,0,30.421120828128803,1
Cuttack,Bidanas 1,6.46,530.0,259,195,182,58,12,23,12.3,223,43,2,0.37,0,25.170747828247965,1
Nabarangpur,Kosagumunda,7.57,430.0,211,223,209,48,25,4,2.5,255,2,4,0.14,0,17.05877022409147,0
Sundargarh,R-10 Raghunathpalli,8.46,580.0,318,201,148,59,13,39,1.9,120,84,32,0.19,1,25.802343703341414,1
Boudh,Usbelika,7.94,460.0,223,220,164,54,21,2,1.4,200,36,10,0.47,1,34.624959573753245,1
Bargarh,Hirapur,8.01,730.0,373,197,337,32,29,73,2.3,411,24,11,0.87,0,55.761214366807366,2
Boudh,Erada,7.74,990.0,482,290,291,42,45,92,0.4,355,83,44,1.4,0,78.67838280577543,3
Puri,Police Lane,7.85,900.0,403,248,226,48,32,57,10.3,275,77,45,0.2,0,29.060289919804177,1
Nabarangpur,Nandahandi,8.16,610.0,318,173,264,34,22,21,60.1,322,19,4,0.26,0,69.87448569577444,2
Cuttack,Tigiria,7.74,950.0,508,310,150,86,23,78,0.7,183,200,31,0.38,0,29.70880760050236,1
Sundargarh,R-37 Vedvyas,8.26,740.0,378,270,126,77,19,44,1.5,154,156,5,0.21,0,25.709087279651126,1
Sonepur,Naikpada,8.34,500.0,257,151,135,42,11,34,3.0,141,55,31,0.63,1,45.72586201382007,1
Mayurbhanj,Nada,8.53,580.0,295,196,153,45,20,42,0.6,187,38,3,0.36,0,33.58311908059407,1
Jajpur,Dasarathpur,7.74,1340.0,732,259,365,58,28,110,82.5,445,144,90,0.29,0,86.58104424399028,3
Nuapada,Tarbod,8.2,530.0,303,158,113,53,6,30,33.5,136,99,15,0.54,0,62.6331974705751,2
Sonepur,Sonepur,7.12,880.0,444,245,280,54,27,71,1.2,342,74,48,0.62,0,36.09848231392393,1
Malkangiri,Malkangiri 1,7.43,1700.0,816,327,245,54,47,170,5.2,299,314,79,0.3,0,28.91397376773186,1
Bargarh,Jamset,8.0,990.0,484,315,337,37,55,62,6.6,411,95,26,0.41,0,39.43297800976344,1
Nabarangpur,Anchalguma1,7.96,1040.0,501,347,306,71,41,38,41.8,373,121,5,0.34,0,61.24577636650338,2
